timestamp,torque_on,present_roll,present_pitch,present_yaw,target_roll,target_pitch,target_yaw,present_pos_top,present_pos_mid,present_pos_bot,present_velocity_top,present_velocity_mid,present_velocity_bot,present_torque_top,present_torque_mid,present_torque_bot,axis_sensor_top,axis_sensor_mid,axis_sensor_bot,board_state
0.00031182,false,-0.0014005776497369395,0.0006729784738607621,0.34992770265510814,0.0,0.0,0.0,1.8620775938034058,1.8721119165420532,1.8646461963653564,0.00007883035868871957,9.630783635435484e-18,2.833720807693588e-18,15243.330078125,5512.08837890625,-11416.1669921875,1.847792625427246,1.8566134770711262,1.8719542821248372,0
0.008342451,false,-0.0014005776497369395,0.0006729784738607621,0.34992770265510814,0.0,0.0,0.0,1.8620775938034058,1.8721119165420532,1.8646461963653564,0.0000675433111609891,1.0004949686537108e-17,2.7117567486854007e-18,15243.548828125,5512.1005859375,-11416.1328125,1.847792625427246,1.8558465639750161,1.8715709050496419,0
0.103500515,true,-0.0013299174437425001,0.0007935659140303041,0.34996177835683606,0.0,0.0,0.012566370614359173,1.8626765012741089,1.8723840713500977,1.8643194437026978,0.00596062233671546,0.0024637505412101746,-0.0030581133905798197,-484.35321044921875,-174.81712341308594,359.6348571777344,1.8489432334899902,1.856230099995931,1.871187369028727,0
0.106434909,true,-0.0013299174437425001,0.0007935659140303041,0.34996177835683606,0.0,0.0,0.025132741228718346,1.8626765012741089,1.8723840713500977,1.8643194437026978,0.005335282534360886,0.0020907074213027954,-0.0023964487481862307,-407.6015930175781,-147.17007446289062,302.0030517578125,1.847792625427246,1.8554630279541016,1.8715709050496419,0
0.113089015,true,-0.0013283010073549461,0.0008028193220159366,0.3499481716450027,0.0,0.0,0.03769911184307752,1.8621864318847656,1.8716763257980347,1.8631213903427124,0.004566746298223734,0.001482548424974084,-0.00219644489698112,-334.7023620605469,-122.03211212158203,244.18209838867188,1.8470255533854165,1.8554630279541016,1.8692696889241536,0
0.121506692,true,-0.0015267004149540464,0.0011866899102927473,0.34311480432559316,0.0,0.0,0.05026548245743669,1.8160109519958496,1.827406644821167,1.8162925243377686,-0.10530193150043488,-0.10639424622058868,-0.12413465976715088,-265.444580078125,-146.51394653320312,74.31170654296875,1.804838498433431,1.81519349416097,1.827082633972168,0
0.13169198,true,-0.001439792160280914,0.0016725138627148696,0.3148101826023919,0.0,0.0,0.06283185307179587,1.632125973701477,1.6440119743347168,1.62973952293396,-1.7518360614776611,-1.722264051437378,-1.80484139919281,-295.638671875,-285.16650390625,-180.9562530517578,1.618831952412923,1.6291869481404622,1.6364739735921223,0
0.1433362,true,-0.001187752685366287,0.0010671333027511241,0.2629779800938435,0.0,0.0,0.07539822368615504,1.3488115072250366,1.3578113317489624,1.3502365350723267,-6.420554161071777,-6.379415512084961,-6.49852991104126,-313.4936828613281,-358.5308837890625,-292.0492248535156,1.3327271938323975,1.3380963007609048,1.355738321940104,0
0.152708816,true,-0.0009680441798265419,0.000887414184459826,0.22329574539364064,0.0,0.0,0.0879645943005142,1.188014030456543,1.1959795951843262,1.1887314319610596,-10.445241928100586,-10.436717987060547,-10.486854553222656,-246.15040588378906,-294.9356384277344,-262.7527160644531,1.1708823839823403,1.174333890279134,1.194276968638102,0
0.162604209,true,-0.0007666647037772552,0.0007699026120074953,0.19078768486899722,0.0,0.0,0.10053096491487337,0.9375343322753906,0.9439204931259155,0.9390138387680054,-16.452119827270508,-16.514711380004883,-16.44728660583496,-113.25330352783203,-167.9420166015625,-175.0224151611328,0.9254304567972819,0.9258139133453369,0.9484415054321289,0
0.173059974,true,-0.0005946012477959245,0.0005208654241485775,0.16077759696462668,0.0,0.0,0.11309733552923254,0.7989535331726074,0.8034884333610535,0.7998886108398438,-18.980531692504883,-19.088136672973633,-18.954832077026367,-11.0867338180542,-78.44254302978516,-77.28719329833984,0.7877472241719563,0.7865966161092122,0.8099912802378336,0
0.182370231,true,-0.0004730696429825511,0.00032892169964748836,0.13673689172153605,0.0,0.0,0.1256637061435917,0.6897770166397095,0.6930049657821655,0.6906575560569763,-19.253990173339844,-19.391468048095703,-19.221406936645508,60.847145080566406,1.6310327053070068,-3.2578840255737305,0.6811290582021077,0.6776773929595947,0.703373114267985,0
0.193248006,true,-0.0003290804482054301,0.00020630001773827098,0.1202616658478509,0.0,0.0,0.13823007675795088,0.630260705947876,0.6320185661315918,0.6305423974990845,-17.516530990600586,-17.662853240966797,-17.48891830444336,95.82955169677734,41.367218017578125,28.963661193847656,0.6239847342173258,0.6186155080795288,0.6443112691243489,0
0.202375079,true,-0.00048435836027449817,-0.0000707739206537518,0.11390432865311205,0.0,0.0,0.15079644737231004,0.6015645265579224,0.6027233004570007,0.6026084423065186,-14.883487701416016,-15.026745796203613,-14.862687110900879,102.39303588867188,58.34626388549805,36.83738708496094,0.5963714122772217,0.5898516178131104,0.6178484757741292,0
0.212573731,true,-0.00035922329439067534,0.00011580485666270065,0.11153229170995739,0.0,0.0,0.1633628179866692,0.5919263958930969,0.5966790914535522,0.5953118205070496,-10.466704368591309,-10.587230682373047,-10.454866409301758,80.74781799316406,52.14777374267578,26.4733943939209,0.5875505208969116,0.5848658879597981,0.6113286813100178,0
0.222724336,true,-0.0006424736189676009,0.00003479096278296459,0.11219251530907026,0.0,0.0,0.17592918860102838,0.601401150226593,0.6022332310676575,0.6019550561904907,-6.848161220550537,-6.898129940032959,-6.80958890914917,56.09590148925781,14.041268348693848,-0.01559363305568695,0.594070315361023,0.5902351140975952,0.6166979074478149,0
